Label,D0_open,D0_close,D0_low,D0_high,D1_open,D1_close,D1_low,D1_high,D2_open,D2_close,D2_low,D2_high,D3_open,D3_close,D3_low,D3_high,D4_open,D4_close,D4_low,D4_high,D5_open,D5_close,D5_low,D5_high,D6_open,D6_close,D6_low,D6_high,D7_open,D7_close,D7_low,D7_high
False,0.442,0.4375,0.4375,0.442,0.442,0.442,0.442,0.4464,0.4443,0.442,0.442,0.4443,0.4598,0.4577,0.4577,0.4598,0.4709,0.4666,0.4666,0.4709,0.4777,0.4755,0.4755,0.4777,0.4777,0.4777,0.4777,0.4821,0.4598,0.4598,0.4598,0.4643
True,0.4354,0.433,0.433,0.4354,0.442,0.4375,0.4375,0.442,0.442,0.442,0.442,0.4464,0.4443,0.442,0.442,0.4443,0.4598,0.4577,0.4577,0.4598,0.4709,0.4666,0.4666,0.4709,0.4777,0.4755,0.4755,0.4777,0.4777,0.4777,0.4777,0.4821
True,0.4709,0.4709,0.4709,0.4732,0.4354,0.433,0.433,0.4354,0.442,0.4375,0.4375,0.442,0.442,0.442,0.442,0.4464,0.4443,0.442,0.442,0.4443,0.4598,0.4577,0.4577,0.4598,0.4709,0.4666,0.4666,0.4709,0.4777,0.4755,0.4755,0.4777
False,0.4732,0.4732,0.4732,0.4755,0.4709,0.4709,0.4709,0.4732,0.4354,0.433,0.433,0.4354,0.442,0.4375,0.4375,0.442,0.442,0.442,0.442,0.4464,0.4443,0.442,0.442,0.4443,0.4598,0.4577,0.4577,0.4598,0.4709,0.4666,0.4666,0.4709
False,0.4666,0.4643,0.4643,0.4666,0.4732,0.4732,0.4732,0.4755,0.4709,0.4709,0.4709,0.4732,0.4354,0.433,0.433,0.4354,0.442,0.4375,0.4375,0.442,0.442,0.442,0.442,0.4464,0.4443,0.442,0.442,0.4443,0.4598,0.4577,0.4577,0.4598
True,0.462,0.4598,0.4598,0.462,0.4666,0.4643,0.4643,0.4666,0.4732,0.4732,0.4732,0.4755,0.4709,0.4709,0.4709,0.4732,0.4354,0.433,0.433,0.4354,0.442,0.4375,0.4375,0.442,0.442,0.442,0.442,0.4464,0.4443,0.442,0.442,0.4443
True,0.4821,0.4821,0.4821,0.4866,0.462,0.4598,0.4598,0.462,0.4666,0.4643,0.4643,0.4666,0.4732,0.4732,0.4732,0.4755,0.4709,0.4709,0.4709,0.4732,0.4354,0.433,0.433,0.4354,0.442,0.4375,0.4375,0.442,0.442,0.442,0.442,0.4464
False,0.4979,0.4979,0.4979,0.5,0.4911,0.4911,0.4911,0.4932,0.4821,0.4821,0.4821,0.4866,0.462,0.4598,0.4598,0.462,0.4666,0.4643,0.4643,0.4666,0.4732,0.4732,0.4732,0.4755,0.4709,0.4709,0.4709,0.4732,0.4354,0.433,0.433,0.4354
False,0.4979,0.4979,0.4979,0.5,0.4979,0.4979,0.4979,0.5,0.4911,0.4911,0.4911,0.4932,0.4821,0.4821,0.4821,0.4866,0.462,0.4598,0.4598,0.462,0.4666,0.4643,0.4643,0.4666,0.4732,0.4732,0.4732,0.4755,0.4709,0.4709,0.4709,0.4732
False,0.4979,0.4979,0.4979,0.5,0.4979,0.4979,0.4979,0.5,0.4979,0.4979,0.4979,0.5,0.4911,0.4911,0.4911,0.4932,0.4821,0.4821,0.4821,0.4866,0.462,0.4598,0.4598,0.462,0.4666,0.4643,0.4643,0.4666,0.4732,0.4732,0.4732,0.4755
False,0.4755,0.4732,0.4732,0.4755,0.4979,0.4979,0.4979,0.5,0.4979,0.4979,0.4979,0.5,0.4979,0.4979,0.4979,0.5,0.4911,0.4911,0.4911,0.4932,0.4821,0.4821,0.4821,0.4866,0.462,0.4598,0.4598,0.462,0.4666,0.4643,0.4643,0.4666
True,0.4486,0.4464,0.4464,0.4486,0.4755,0.4732,0.4732,0.4755,0.4979,0.4979,0.4979,0.5,0.4979,0.4979,0.4979,0.5,0.4979,0.4979,0.4979,0.5,0.4911,0.4911,0.4911,0.4932,0.4821,0.4821,0.4821,0.4866,0.462,0.4598,0.4598,0.462
True,0.4598,0.4598,0.4598,0.462,0.4486,0.4464,0.4464,0.4486,0.4755,0.4732,0.4732,0.4755,0.4979,0.4979,0.4979,0.5,0.4979,0.4979,0.4979,0.5,0.4979,0.4979,0.4979,0.5,0.4911,0.4911,0.4911,0.4932,0.4821,0.4821,0.4821,0.4866
True,0.4911,0.4911,0.4911,0.4932,0.4598,0.4598,0.4598,0.462,0.4486,0.4464,0.4464,0.4486,0.4755,0.4732,0.4732,0.4755,0.4979,0.4979,0.4979,0.5,0.4979,0.4979,0.4979,0.5,0.4979,0.4979,0.4979,0.5,0.4911,0.4911,0.4911,0.4932
True,0.5089,0.5089,0.5089,0.5111,0.4911,0.4911,0.4911,0.4932,0.4598,0.4598,0.4598,0.462,0.4486,0.4464,0.4464,0.4486,0.4755,0.4732,0.4732,0.4755,0.4979,0.4979,0.4979,0.5,0.4979,0.4979,0.4979,0.5,0.4979,0.4979,0.4979,0.5
False,0.5223,0.5223,0.5223,0.5245,0.5089,0.5089,0.5089,0.5111,0.4911,0.4911,0.4911,0.4932,0.4598,0.4598,0.4598,0.462,0.4486,0.4464,0.4464,0.4486,0.4755,0.4732,0.4732,0.4755,0.4979,0.4979,0.4979,0.5,0.4979,0.4979,0.4979,0.5
False,0.5155,0.5134,0.5134,0.5155,0.5223,0.5179,0.5179,0.5223,0.5223,0.5223,0.5223,0.5245,0.5089,0.5089,0.5089,0.5111,0.4911,0.4911,0.4911,0.4932,0.4598,0.4598,0.4598,0.462,0.4486,0.4464,0.4464,0.4486,0.4755,0.4732,0.4732,0.4755
